university,name,author_id,works_count,cited_by_count,h_index,primary_topic,top_topics
Pennsylvania State University,Elia Merzari,A5046254414,430,3237,30,Nuclear reactor physics and engineering,Nuclear reactor physics and engineering | Nuclear Engineering Thermal-Hydraulics | Fluid Dynamics and Turbulent Flows
University of Massachusetts-Lowell,Elia Merzari,A5046254414,430,3237,30,Nuclear reactor physics and engineering,Nuclear reactor physics and engineering | Nuclear Engineering Thermal-Hydraulics | Fluid Dynamics and Turbulent Flows
Brigham Young University,Kent L. Gee,A5037640778,812,3231,24,Aerodynamics and Acoustics in Jet Flows,Aerodynamics and Acoustics in Jet Flows | Acoustic Wave Phenomena Research | Noise Effects and Management
Michigan State University,Minami Yoda,A5042582169,406,3226,29,Fluid Dynamics and Turbulent Flows,Fluid Dynamics and Turbulent Flows | Microfluidic and Bio-sensing Technologies | Particle Dynamics in Fluid Flows
University of Central Florida,Alain J. Kassab,A5068734730,266,3219,29,Numerical methods in engineering,Numerical methods in engineering | Numerical methods in inverse problems | Advanced Numerical Methods in Computational Mathematics
University of Mississippi,Wei-Yin Chen,A5102909760,125,3190,25,Thermochemical Biomass Conversion Processes,Thermochemical Biomass Conversion Processes | Catalytic Processes in Materials Science | Carbon Dioxide Capture Technologies
University of Nebraska-Lincoln,Kazuo Yamazaki,A5011915062,267,3166,28,Navier-Stokes equation solutions,Navier-Stokes equation solutions | Insect-Plant Interactions and Control | Advanced Mathematical Physics Problems
University of Mississippi,Sam S. Y. Wang,A5025593087,121,3141,28,Hydrology and Sediment Transport Processes,Hydrology and Sediment Transport Processes | Hydraulic flow and structures | Soil erosion and sediment transport
George Washington University,Michael W. Plesniak,A5032840071,232,3101,30,Fluid Dynamics and Turbulent Flows,Fluid Dynamics and Turbulent Flows | Coronary Interventions and Diagnostics | Aerodynamics and Acoustics in Jet Flows
Clemson University,Dvora Perahia,A5067183345,249,3100,25,Polymer crystallization and properties,Polymer crystallization and properties | Advanced Polymer Synthesis and Characterization | Block Copolymer Self-Assembly
Missouri University of Science and Technology,T. S. Chen,A5113028889,108,3094,31,Fluid Dynamics and Turbulent Flows,Fluid Dynamics and Turbulent Flows | Nanofluid Flow and Heat Transfer | Fluid Dynamics and Vibration Analysis
George Washington University,Marc Garbey,A5071548942,246,3085,27,Advanced Numerical Methods in Computational Mathematics,Advanced Numerical Methods in Computational Mathematics | Numerical methods for differential equations | Differential Equations and Numerical Methods
University of Central Florida,Jayanta Kapat,A5033793801,402,3034,23,Heat Transfer Mechanisms,Heat Transfer Mechanisms | Fluid Dynamics and Turbulent Flows | Turbomachinery Performance and Optimization
Rensselaer Polytechnic Institute,Peter R. Kramer,A5009642764,160,2981,28,Metabolism and Genetic Disorders,Metabolism and Genetic Disorders | Nonlinear Optical Materials Research | Dialysis and Renal Disease Management
Rensselaer Polytechnic Institute,John Tichy,A5075805907,198,2950,30,Tribology and Lubrication Engineering,"Tribology and Lubrication Engineering | Adhesion, Friction, and Surface Interactions | Gear and Bearing Dynamics Analysis"
Brigham Young University,Daniel Maynes,A5031038524,188,2947,28,Surface Modification and Superhydrophobicity,Surface Modification and Superhydrophobicity | Fluid Dynamics and Heat Transfer | Heat Transfer and Optimization
Baylor University,Honghi Tran,A5020159747,152,2909,22,Thermochemical Biomass Conversion Processes,Thermochemical Biomass Conversion Processes | Coal Combustion and Slurry Processing | Combustion and flame dynamics
New Jersey Institute of Technology,Wooyoung Choi,A5056046236,144,2776,27,Ocean Waves and Remote Sensing,Ocean Waves and Remote Sensing | Coastal and Marine Dynamics | Oceanographic and Atmospheric Processes
University of Rhode Island,James LeBlanc,A5103145362,131,2742,27,Structural Response to Dynamic Loads,Structural Response to Dynamic Loads | Energetic Materials and Combustion | Mechanical Behavior of Composites
Missouri University of Science and Technology,Walter Eversman,A5067203099,180,2716,29,Acoustic Wave Phenomena Research,Acoustic Wave Phenomena Research | Aerodynamics and Acoustics in Jet Flows | Vehicle Noise and Vibration Control
